user_id,kac,count_initial_scan_subscriptions,days,rollup_count,unsubscribe_count,inbox_count,fresh_count,unknown_count,domains_gmail,domains_others,signup_origin_Web App,signup_origin_iPhone,Mean_Pred_days,Med_Pred_days
2937150,0,287,335,0.0,220.0,9.0,58.0,0.0,1.0,0.0,1.0,0.0,263.449648053,263.449648053
4597609,0,132,5,56.0,45.0,23.0,8.0,0.0,1.0,0.0,0.0,1.0,242.62398171,242.62398171
4181304,0,158,189,21.0,121.0,14.0,2.0,0.0,1.0,0.0,0.0,1.0,250.861099181,250.861099181
3194167,0,564,374,228.0,314.0,10.0,12.0,0.0,1.0,0.0,0.0,1.0,372.581007155,372.581007155
4066878,0,305,301,0.0,220.0,65.0,20.0,0.0,1.0,0.0,0.0,1.0,277.251286303,277.251286303
3773567,0,179,252,0.0,20.0,12.0,147.0,0.0,1.0,0.0,0.0,1.0,229.051278663,229.051278663
2117498,0,228,546,112.0,91.0,13.0,12.0,0.0,1.0,0.0,0.0,1.0,267.596375511,267.596375511
2588994,0,123,451,1.0,79.0,37.0,6.0,0.0,1.0,0.0,1.0,0.0,221.187832165,221.187832165
3505023,0,179,280,0.0,133.0,42.0,4.0,0.0,1.0,0.0,0.0,1.0,251.345424207,251.345424207
255021,0,687,910,34.0,96.0,76.0,481.0,0.0,0.0,0.0,1.0,0.0,1014.50520506,1014.50520506
4610020,0,133,134,0.0,69.0,53.0,11.0,0.0,1.0,0.0,0.0,1.0,237.827154495,237.827154495
4004137,0,166,291,38.0,97.0,5.0,26.0,0.0,1.0,0.0,0.0,1.0,249.521556186,249.521556186
4607093,0,186,122,8.0,142.0,12.0,24.0,0.0,1.0,0.0,0.0,1.0,253.497907362,253.497907362
3608930,0,257,185,9.0,111.0,102.0,35.0,0.0,1.0,0.0,0.0,1.0,255.616674306,255.616674306
4579708,0,1915,201,1.0,397.0,45.0,1472.0,0.0,1.0,0.0,1.0,0.0,556.52940462,556.52940462
5092482,0,361,82,1.0,262.0,98.0,0.0,0.0,1.0,0.0,0.0,1.0,292.179677589,292.179677589
4827307,0,32,25,13.0,5.0,2.0,12.0,0.0,1.0,0.0,1.0,0.0,202.652678329,202.652678329
4830554,0,410,9,114.0,146.0,100.0,50.0,0.0,1.0,0.0,1.0,0.0,292.6209577,292.6209577
4056492,0,495,223,0.0,335.0,69.0,91.0,0.0,1.0,0.0,0.0,1.0,314.390675032,314.390675032
3079106,0,1009,256,196.0,632.0,56.0,125.0,0.0,1.0,0.0,1.0,0.0,735.934813825,735.934813825
5055255,0,268,63,98.0,139.0,29.0,2.0,0.0,1.0,0.0,1.0,0.0,269.614850585,269.614850585
4378429,0,80,212,0.0,63.0,7.0,10.0,0.0,1.0,0.0,1.0,0.0,213.882805742,213.882805742
3714878,0,107,286,17.0,40.0,44.0,6.0,0.0,1.0,0.0,0.0,1.0,234.305449117,234.305449117
429092,0,1022,1036,0.0,711.0,53.0,258.0,0.0,1.0,0.0,1.0,0.0,609.305538448,609.305538448
302216,0,955,552,818.0,33.0,104.0,0.0,0.0,1.0,0.0,1.0,0.0,1160.33974013,1160.33974013
140232,0,1765,1276,466.0,1030.0,267.0,2.0,0.0,1.0,0.0,1.0,0.0,1495.81640137,1495.81640137
1989221,0,342,575,0.0,237.0,86.0,19.0,0.0,1.0,0.0,0.0,1.0,284.423421858,284.423421858
